group,n,selection_rate,precision,recall,base_rate
management,2928,0.13524590163934427,0.9570707070707071,0.14880251276010995,0.8698770491803278
blue-collar,2866,0.31297976273551986,0.9643255295429208,0.3265383163457909,0.9242847173761339
technician,2291,0.1610650371017023,0.981029810298103,0.17894216510133465,0.8830205150589262
admin.,1509,0.19681908548707752,0.9696969696969697,0.21654135338345865,0.8813783962889331
services,1275,0.22745098039215686,0.9689655172413794,0.24037639007698888,0.9168627450980392
retired,674,0.1572700296735905,0.9622641509433962,0.20039292730844793,0.755192878338279
self-employed,503,0.16699801192842942,0.9761904761904762,0.1889400921658986,0.8628230616302187
entrepreneur,443,0.22573363431151242,0.96,0.23300970873786409,0.9300225733634312
unemployed,385,0.13506493506493505,0.9807692307692307,0.15838509316770186,0.8363636363636363
housemaid,347,0.2507204610951009,0.9655172413793104,0.27009646302250806,0.8962536023054755
student,261,0.04597701149425287,1.0,0.061224489795918366,0.7509578544061303
unknown,82,0.2682926829268293,0.9545454545454546,0.28,0.9146341463414634
