feature,importance
cat__poutcome_success,0.07767468523658513
cat__contact_unknown,0.07254122899429113
num__age,0.061972752422749744
num__transaction_velocity,0.05944883934900783
num__recency,0.05097897786448729
num__product_count,0.04752504794679136
num__balance,0.047288356229951284
num__monetary,0.04449160127062545
num__day_of_week,0.041811111253707615
cat__contact_cellular,0.0402741832765104
num__fee_ratio,0.038005259332697376
num__pdays,0.037381722889961715
cat__housing_yes,0.027331368529439896
cat__housing_no,0.02345893151925516
num__campaign,0.022130264937396484
num__previous,0.018069650653746838
num__frequency,0.017441276449942623
cat__month_aug,0.01669274069702606
num__m_score,0.01602091451214427
cat__month_may,0.015983271452143056
